City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
kavieng,100,PG,1571025019,69,-2.57,150.8,83.7,4.35
luderitz,0,NA,1571025020,82,-26.65,15.16,55.4,5.82
sentyabrskiy, ,,,,,,,
wuhan,81,CN,1571025020,53,30.6,114.3,75.2,17.9
chuy,99,UY,1571025021,71,-33.69,-53.46,51.66,13.14
katsuura,20,JP,1571025021,60,33.93,134.5,73.4,11.41
victoria,75,BN,1571025021,70,5.28,115.24,89.6,5.82
hamilton,75,CA,1571025022,76,43.26,-79.87,53.01,5.82
tezu,0,IN,1571025022,52,27.93,96.16,79.2,2.42
hasaki,75,JP,1571025022,93,35.73,140.83,66.2,12.75
corinto,40,CO,1571025023,83,3.17,-76.26,69.8,5.82
bollnas,100,SE,1571025023,98,61.35,16.39,35.01,5.55
tsihombe, ,,,,,,,
acarau, ,,,,,,,
lar,0,IR,1571025024,93,27.66,54.32,60.8,2.89
fort nelson,90,CA,1571025024,74,58.81,-122.69,33.8,2.24
sao felix do xingu,32,BR,1571025024,81,-6.64,-51.99,74.05,2.11
pevek,100,RU,1571025025,67,69.7,170.27,33.3,15.49
attawapiskat, ,,,,,,,
dhuburi,0,IN,1571025025,74,26.03,89.97,80.19,8.45
graham,1,US,1571025025,52,33.11,-98.59,66.99,4.7
kodiak,1,US,1571025026,54,39.95,-94.76,46.4,5.82
khasan,0,RU,1571025026,33,42.43,130.64,46.11,16.99
beira,100,ES,1571025026,93,43.2,-8.36,57.99,13.87
ylojarvi,90,FI,1571025027,93,61.56,23.6,35.01,1.12
wageningen,90,NL,1571025027,100,51.98,5.66,57.2,4.7
tura,86,RU,1571025027,92,64.27,100.22,27.27,4.29
ossora,27,RU,1571025028,47,59.24,163.07,40.39,9.83
praia da vitoria,75,PT,1571025028,72,38.73,-27.07,64.4,14.25
bandiagara,66,ML,1571025028,83,14.35,-3.61,82.4,7.26
pontianak,100,ID,1571025028,85,-0.02,109.34,78.48,2.5
deqing,75,CN,1571025029,69,30.54,119.97,77.0,8.95
cabo san lucas,90,MX,1571025029,78,22.89,-109.91,80.6,24.16
soke,93,ML,1571025029,66,13.6,-5.94,78.01,8.51
mbekenyera,70,TZ,1571025030,86,-10.0,38.98,70.92,1.62
lahaina,40,US,1571025030,61,20.87,-156.68,84.2,11.41
lasa,0,CY,1571025030,31,34.92,32.53,75.2,8.05
juneau,20,US,1571025031,100,58.3,-134.42,41.0,6.53
westport,90,US,1571025031,71,41.14,-73.36,62.6,8.57
castro,0,CL,1571025031,65,-42.48,-73.76,44.6,10.29
chimore,70,BO,1571025032,80,-16.98,-65.13,73.72,3.54
sendai,75,JP,1571025032,67,38.27,140.87,62.6,2.24
axim,88,GH,1571025032,97,4.87,-2.24,72.7,2.9
palma del rio,91,ES,1571025033,68,37.7,-5.28,68.0,4.7
bouafle,90,FR,1571025033,82,48.96,1.9,59.0,4.7
nanortalik,0,GL,1571025033,86,60.14,-45.24,34.09,14.39
turukhansk,95,RU,1571025034,98,65.8,87.96,35.06,5.15
camabatela,100,AO,1571025034,95,-8.19,15.37,63.57,3.03
morant bay,20,JM,1571025034,70,17.88,-76.41,84.2,11.41
broome,100,GB,1571025034,93,52.47,1.45,50.0,3.36
mys shmidta, ,,,,,,,
bathsheba,20,BB,1571025035,83,13.22,-59.52,80.6,13.87
ballina,100,IE,1571025035,94,54.11,-9.15,46.99,1.01
puerto escondido,84,MX,1571025036,95,15.86,-97.07,71.49,3.81
fairbanks,90,US,1571025036,68,64.84,-147.72,30.2,6.93
portland,75,US,1571024661,87,43.66,-70.25,54.0,10.76
ust-kuyga,39,RU,1571025037,93,70.0,135.55,9.59,5.22
nisia floresta,75,BR,1571025037,94,-6.09,-35.21,75.2,8.05
baboua, ,,,,,,,
floriano,0,BR,1571025037,34,-6.77,-43.02,79.84,6.2
meyungs, ,,,,,,,
yangjiang,0,CN,1571025038,56,21.85,111.96,87.01,10.35
asyut,23,EG,1571025038,56,27.18,31.19,67.59,11.5
chirongui,0,YT,1571025038,78,-12.93,45.15,78.8,2.24
moose factory,90,CA,1571025039,93,51.26,-80.61,42.8,6.93
eyl,0,SO,1571025039,82,7.98,49.82,79.97,6.04
pankrushikha,99,RU,1571025039,51,53.83,80.35,51.91,13.54
halalo, ,,,,,,,
medea,0,DZ,1571025040,87,36.27,2.77,59.0,8.92
salalah,0,OM,1571025040,69,17.01,54.1,75.2,2.24
east london,75,ZA,1571025040,82,-33.02,27.91,62.6,11.41
chapais,75,CA,1571025041,70,49.78,-74.86,42.8,8.05
guerrero negro,0,MX,1571025041,67,27.97,-114.04,68.47,13.52
manzhouli,0,CN,1571025042,32,49.6,117.43,39.02,13.74
severo-kurilsk,51,RU,1571025042,63,50.68,156.12,37.76,29.77
cedar city,1,US,1571025042,19,37.68,-113.06,50.0,4.7
mergui, ,,,,,,,
yumen,0,CN,1571025043,31,40.29,97.04,44.06,24.48
kamenskoye, ,,,,,,,
sao filipe,0,CV,1571025043,75,14.9,-24.5,78.04,18.62
piacabucu,4,BR,1571025044,81,-10.41,-36.43,74.75,9.61
gandhinagar,0,IN,1571025044,58,23.22,72.65,82.4,4.7
marcona, ,,,,,,,
vila velha,75,BR,1571025044,74,-3.71,-38.6,80.6,14.99
chenzhou,100,CN,1571025045,87,25.81,113.03,66.02,5.57
fukue,75,JP,1571025045,77,35.03,136.69,68.0,8.05
kavaratti,40,IN,1571025045,74,10.57,72.64,86.0,6.93
torbay,90,CA,1571025046,100,47.66,-52.73,51.01,11.41
merauke,24,ID,1571025046,35,-8.49,140.4,93.45,7.62
igrim,100,RU,1571025046,95,63.19,64.42,41.16,8.54
raymondville,1,US,1571025047,71,37.34,-91.83,50.0,3.36
bismil,0,TR,1571025047,42,37.85,40.66,68.0,3.36
gambela,100,ET,1571025047,90,8.25,34.59,69.57,5.08
kismayo, ,,,,,,,
bengkulu, ,,,,,,,
haimen,67,CN,1571025048,82,31.87,121.18,77.0,5.01
kampong cham,100,KH,1571025048,68,11.99,105.46,83.98,11.64
mandsaur,0,IN,1571025049,56,24.07,75.07,76.78,1.87
dunedin,100,NZ,1571025049,84,-45.87,170.5,52.0,20
ola,100,RU,1571025049,56,59.58,151.3,25.93,7.37
novovasylivka,0,UA,1571025050,87,48.2,37.04,50.74,4.84
tiarei,20,PF,1571025050,65,-17.53,-149.33,78.8,8.05
kabare,48,RW,1571025050,91,-1.65,29.38,51.55,3.06
pena,100,PT,1571025051,9,41.29,-7.82,55.0,4.08
saint-augustin,20,CA,1571025051,81,45.63,-73.98,52.0,4.7
mahajanga,40,MG,1571025051,78,-15.72,46.32,77.0,3.36
gornopravdinsk,100,RU,1571025052,92,60.06,69.92,43.92,8.97
salinopolis,42,BR,1571025052,78,-0.61,-47.36,80.94,16.7
poum,0,MK,1571025052,78,41.28,20.71,51.17,2.22
vanimo,100,PG,1571025053,82,-2.67,141.3,79.32,10.75
cherskiy,100,RU,1571025053,78,68.75,161.3,30.83,1.62
erenhot,0,CN,1571025053,22,43.65,111.97,38.03,3.91
coihaique,0,CL,1571025053,28,-45.58,-72.07,46.4,5.82
shiraz,0,IR,1571025054,48,29.61,52.54,62.6,4.7
beringovskiy,91,RU,1571025054,84,63.05,179.32,38.57,15.01
jega,0,NG,1571025054,78,12.22,4.38,77.32,6.93
saldanha,99,PT,1571025055,72,41.42,-6.55,58.28,7.34
sisimiut,4,GL,1571025055,85,66.94,-53.67,22.59,3.76
lagoa,20,PT,1571025055,88,37.14,-8.45,66.2,13.87
madras,1,US,1571025056,76,44.63,-121.13,52.0,6.93
zhezkazgan,100,KZ,1571025056,66,47.8,67.71,50.32,6.95
emerald,0,AU,1571025056,31,-23.53,148.16,91.99,8.05
lampazos de naranjo,33,MX,1571025057,58,27.02,-100.51,71.08,9.34
wanning,90,AT,1571025057,100,48.64,13.53,52.0,1.12
khormuj, ,,,,,,,
yamada,75,JP,1571025057,88,36.58,137.08,64.0,4.7
valparaiso,90,US,1571025058,61,41.47,-87.06,48.99,4.7
yirol, ,,,,,,,
nioro,100,GM,1571025058,84,13.79,-15.05,76.06,6.7
maxixe,75,MZ,1571025059,94,-23.86,35.35,68.0,12.04
lazurne,47,UA,1571025059,89,46.77,34.99,50.81,2.66
miandrivazo,100,MG,1571025059,68,-19.53,45.46,75.87,0.69
oga,5,IT,1571025060,93,46.46,10.35,48.99,4.51
vardo,1,US,1571025060,93,39.62,-77.74,54.0,1.77
juba,20,EE,1571025060,100,57.82,26.93,45.0,3.36
goderich,100,CA,1571025061,77,43.74,-81.71,48.99,18.82
alenquer,61,BR,1571025061,88,-1.95,-54.74,80.6,4.7
orsha,35,BY,1571025061,93,54.51,30.43,47.32,5.19
anloga,20,GH,1571025062,94,5.79,0.9,77.0,3.36
longyearbyen,37,NO,1571025062,73,78.22,15.63,19.4,1.47
zhigansk,100,RU,1571025062,83,66.77,123.37,21.78,10.67
khani,0,GE,1571025063,93,41.96,42.96,46.4,2.24
hong gai,20,VN,1571025063,70,20.96,107.09,84.2,9.17
dangriga,80,BZ,1571025063,96,16.97,-88.23,75.0,11.03
souillac,0,FR,1571025064,77,45.6,-0.6,66.2,17.22
lovozero,100,RU,1571025064,98,68.01,35.02,30.38,5.15
sierre,0,CH,1571025064,81,46.29,7.53,55.0,5.82
skjervoy,9,NO,1571025065,60,70.03,20.97,37.11,7.41
rapu-rapu,14,PH,1571025065,70,13.19,124.13,82.87,7.28
itaituba,100,BR,1571025065,92,-4.26,-55.99,72.46,2.19
plaster rock,75,CA,1571025066,93,46.91,-67.4,44.6,1.36
waipawa,100,NZ,1571025066,74,-39.94,176.59,54.0,7
leh,0,IN,1571025066,23,34.16,77.58,33.76,3.11
tambura, ,,,,,,,
birjand,0,IR,1571025067,43,32.86,59.22,51.8,9.17
laguna,75,BZ,1571025067,100,16.17,-88.94,75.2,4.7
amapala,100,CR,1571025067,1,10.26,-84.81,70.0,3
belushya guba, ,,,,,,,
vrangel,100,RU,1571025068,74,42.73,133.08,45.28,15.85
pitimbu,90,BR,1571025068,100,-7.47,-34.81,73.4,10.29
recreio,0,BR,1571025069,75,-21.52,-42.47,70.0,1.01
vostok,0,RU,1571025069,32,46.45,135.83,36.5,12.31
hervey bay,90,AU,1571025069,53,-25.3,152.85,78.01,14.99
ridgecrest,1,US,1571025070,12,35.62,-117.67,66.99,8.05
carutapera,0,BR,1571025070,79,-1.2,-46.02,80.51,16.5
nicoya,90,CR,1571025070,94,10.15,-85.45,75.2,6.93
cururupu,0,BR,1571025071,90,-1.82,-44.87,73.9,3.02
duncan,1,US,1571025071,59,34.5,-97.96,64.4,8.05
komsomolets,100,RU,1571025071,95,52.77,41.29,46.47,7.25
chagda, ,,,,,,,
bambous virieux,75,MU,1571025072,83,-20.34,57.76,73.0,3.36
pop,16,UZ,1571025072,55,40.87,71.1,60.8,2.24
kalmunai,90,LK,1571025072,76,7.42,81.82,82.24,8.55
hualmay,66,PE,1571025073,83,-11.1,-77.61,58.14,3.05
rundu,70,NA,1571025073,56,-17.91,19.77,71.6,2.24
nanchital,1,MX,1571025073,92,18.07,-94.4,75.87,6.39
burica, ,,,,,,,
santa maria,93,BR,1571025074,40,-16.02,-48.01,73.4,3.36
karmana, ,,,,,,,
huntsville,1,US,1571025074,76,34.73,-86.59,57.2,3.05
collie,53,AU,1571025075,34,-33.36,116.15,66.99,5.12
chino,75,JP,1571025075,87,35.99,138.16,63.0,3.36
turbat,0,PK,1571025075,59,26.0,63.05,80.78,2.44
akyab, ,,,,,,,
yulara,75,AU,1571025076,7,-25.24,130.99,98.6,9.17
talara,30,PE,1571025076,88,-4.58,-81.27,63.59,16.98
sitka,0,US,1571025077,60,37.17,-99.65,53.01,8.99
aklavik,40,CA,1571025077,85,68.22,-135.01,24.8,4.7
trat,20,TH,1571025077,70,12.25,102.51,90.0,3.36
santa isabel,1,MX,1571025078,16,32.63,-115.58,77.0,3.36
manohar thana,11,IN,1571025078,58,24.24,76.8,75.78,1.88
mount gambier,40,AU,1571025078,55,-37.83,140.78,62.6,11.41
okhotsk,74,RU,1571025079,58,59.36,143.24,21.45,17.96
tarko-sale,85,RU,1571025079,95,64.92,77.78,41.0,12.05
saint-philippe,1,CA,1571025079,81,45.36,-73.48,52.0,5.82
xuddur,31,SO,1571025080,84,4.12,43.89,73.4,10.92
labuhan,36,ID,1571025080,38,-2.54,115.51,95.67,3.07
santa cruz del sur,39,CU,1571025080,82,20.71,-78,81.99,17.96
mamlyutka,100,KZ,1571025081,78,54.94,68.54,46.94,14.21
eldikan, ,,,,,,,
dolbeau, ,,,,,,,
melfort,90,CA,1571025081,80,52.87,-104.61,30.2,2.24
imbituba,75,BR,1571025082,94,-28.24,-48.67,71.6,8.05
rio bueno,20,JM,1571025082,69,18.47,-77.46,82.4,4.7
domoni, ,,,,,,,
ratnagiri,78,IN,1571025083,82,16.98,73.3,79.83,2.25
leoben,75,AT,1571025083,93,47.38,15.09,53.01,1.12
samusu, ,,,,,,,
we, ,,,,,,,
bria,62,CF,1571025084,93,6.54,21.99,66.38,3.25
warqla, ,,,,,,,
dungarpur,0,IN,1571025084,49,23.85,73.71,78.89,1.81
kibre mengist,65,ET,1571025085,97,5.87,38.99,54.37,1.39
khatanga,95,RU,1571025085,93,71.98,102.47,25.52,13.52
nadudvar,0,HU,1571025085,100,47.42,21.17,46.4,1.12
inderborskiy, ,,,,,,,
wanganui,100,NZ,1571025086,44,-39.93,175.05,60.01,15.01
houma,100,CN,1571025086,85,35.63,111.36,50.38,9.94
ayios kirikos, ,,,,,,,
scottsbluff,1,US,1571025087,52,41.87,-103.67,48.99,3.36
alofi,99,NU,1571025087,65,-19.06,-169.92,78.8,16.11
bandarbeyla,94,SO,1571025087,77,9.49,50.81,80.65,10.16
galdar,20,ES,1571025088,73,28.15,-15.65,69.8,12.75
riyadh,0,SA,1571025088,57,24.63,46.72,75.2,3.36
namatanai,80,PG,1571025088,66,-3.66,152.44,83.98,1.44
lexington park,90,US,1571025089,88,38.26,-76.45,66.0,3.64
constitucion,40,MX,1571025089,55,23.99,-104.67,64.4,4.7
urumqi, ,,,,,,,
bonnyville,90,CA,1571025089,65,54.27,-110.74,44.6,5.82
talnakh,100,RU,1571025090,97,69.49,88.39,27.45,8.24
amderma, ,,,,,,,
pucheni,63,RO,1571025090,61,45.18,25.28,57.99,3.22
thinadhoo,92,MV,1571025091,78,0.53,72.93,82.13,8.75
solnechnyy,2,RU,1571025091,27,50.72,136.64,34.63,6.55
sainte-marie,20,CA,1571025091,86,46.45,-71.03,43.0,5.82
herat,0,AF,1571025092,47,34.35,62.22,57.2,11.41
brookings,75,US,1571025092,74,44.31,-96.8,37.4,6.96
palabuhanratu, ,,,,,,,
pringsewu,21,ID,1571025092,42,-5.36,104.98,91.71,0.62
kumba,94,CM,1571025093,98,4.64,9.44,71.87,0.94
punta de bombon,59,PE,1571025093,84,-17.17,-71.79,58.3,4.27
kinango,75,KE,1571025093,100,-4.13,39.32,73.4,5.82
waingapu,94,ID,1571025094,70,-9.65,120.26,79.79,6.93
buriti dos lopes,1,BR,1571025094,80,-3.18,-41.87,74.93,5.68
bolu,1,TR,1571025095,42,40.73,31.61,53.31,2.16
canmore,90,CA,1571025095,93,51.09,-115.35,37.4,3.36
maniitsoq,0,GL,1571025095,54,65.42,-52.9,28.04,4.43
portsmouth,100,GB,1571025096,93,50.8,-1.08,55.99,4.7
kresttsy,79,RU,1571025096,98,58.25,32.52,42.12,4.36
ngukurr, ,,,,,,,
nea vissa,0,GR,1571025096,10,41.58,26.53,46.0,5.02
jaffna,34,LK,1571025097,72,9.67,80.01,82.49,1.62
olafsvik, ,,,,,,,
verkhniy avzyan,62,RU,1571025098,92,53.53,57.54,38.88,7.65
sterling,1,US,1571025098,93,39.0,-77.4,62.6,3.48
bolobo,74,CD,1571025098,85,-2.17,16.23,72.88,2.95
beloha,98,MG,1571025098,84,-25.17,45.06,70.9,3.57
ostrovnoy,96,RU,1571025099,80,68.05,39.51,34.2,8.95
faanui,9,PF,1571025099,75,-16.48,-151.75,77.27,16.48
meulaboh,100,ID,1571025100,79,4.14,96.13,79.9,6.56
marsh harbour,34,BS,1571025100,73,26.54,-77.06,77.54,11.73
rungata, ,,,,,,,
necochea,0,AR,1571025100,70,-38.55,-58.74,46.0,13
novikovo,28,RU,1571025101,91,51.15,37.89,51.3,6.05
lolua, ,,,,,,,
katiola,40,CI,1571025101,100,8.14,-5.1,73.4,4.7
coruripe,7,BR,1571025102,79,-10.12,-36.18,76.06,11.97
salamiyah,41,SY,1571025102,38,35.01,37.05,64.92,1.35
biskamzha,40,RU,1571025102,68,53.45,89.53,45.52,1.01
tuktoyaktuk,40,CA,1571025103,68,69.44,-133.03,30.2,14.99
oktyabrskoye,100,RU,1571025103,61,56.73,85.44,54.0,9.8
bandar,0,BD,1571025103,74,22.29,91.78,84.2,4.7
mabaruma,100,GY,1571025104,98,8.2,-59.78,71.4,1.81
yanliang,3,CN,1571025104,82,34.66,109.22,70.0,8.95
suchiapa,5,MX,1571025104,88,16.62,-93.08,73.4,6.93
mango,25,CF,1571025105,97,4.65,22.36,68.14,1.66
scarborough,100,GB,1571025105,100,54.28,-0.41,48.0,2.24
port moresby,0,PG,1571025105,82,-9.47,147.16,77.52,24.65
saint george,0,GR,1571025106,93,39.45,22.34,57.2,1.21
whitehorse,90,CA,1571025106,74,60.72,-135.06,30.2,3.36
sabang,100,PH,1571025106,68,13.8,121.11,84.99,7
bundaberg,90,AU,1571025107,53,-24.87,152.35,78.01,14.99
lata,0,IN,1571025107,29,30.78,78.62,39.15,2.16
bolungarvik, ,,,,,,,
saint-leu,57,RE,1571025108,61,-21.15,55.28,77.0,6.93
hohhot,0,CN,1571025108,17,40.81,111.65,42.8,8.95
sinegorskiy,5,RU,1571025108,86,48.01,40.84,51.98,4.95
richards bay,78,ZA,1571025109,82,-28.77,32.06,69.13,17.3
los llanos de aridane,90,ES,1571025109,88,28.66,-17.92,68.0,11.41
ponta do sol,28,BR,1571025109,50,-20.63,-46,69.94,5.64
porto novo,0,BR,1571025110,60,-23.68,-45.44,71.6,3.36
kadykchan, ,,,,,,,
